date,monthly_return,,,,
Oct-19,2.59%,,,,
Sep-19,-3.69%,,,,
Aug-19,6.37%,,,,
Jul-19,0.89%,,,,
Jun-19,7.75%,,,,
May-19,1.46%,,,,
Apr-19,-0.98%,,,,
Mar-19,-1.83%,,,,
Feb-19,-0.67%,,,,
Jan-19,2.86%,,,,
Dec-18,4.46%,,,,
Nov-18,0.46%,,,,
Oct-18,1.58%,,,,
Sep-18,-0.79%,,,,
Aug-18,-2.28%,,,,
Jul-18,-2.59%,,,,
Jun-18,-3.84%,,,,
May-18,-1.59%,,,,
Apr-18,-0.51%,,,,
Mar-18,0.30%,,,,
Feb-18,-1.49%,,,,
Jan-18,2.87%,,,,
Dec-17,2.61%,,,,
Nov-17,0.56%,,,,
Oct-17,-0.95%,,,,
Sep-17,-2.37%,,,,
Aug-17,3.67%,,,,
Jul-17,1.97%,,,,
Jun-17,-2.56%,,,,
May-17,0.11%,,,,
Apr-17,1.28%,,,,
Mar-17,-0.34%,,,,
Feb-17,3.35%,,,,
Jan-17,4.73%,,,,
Dec-16,-0.90%,,,,
Nov-16,-7.28%,,,,
Oct-16,-2.94%,,,,
Sep-16,0.39%,,,,
Aug-16,-3.41%,,,,
Jul-16,2.78%,,,,
Jun-16,8.37%,,,,
May-16,-5.20%,,,,
Apr-16,4.74%,,,,
Mar-16,0.60%,,,,
Feb-16,9.93%,,,,
Jan-16,3.88%,,,,
Dec-15,-0.23%,,,,
Nov-15,-6.02%,,,,
Oct-15,1.59%,,,,
Sep-15,-2.48%,,,,
Aug-15,2.93%,,,,
Jul-15,-7.06%,,,,
Jun-15,-0.79%,,,,
May-15,0.78%,,,,
Apr-15,0.06%,,,,
Mar-15,-2.91%,,,,
Feb-15,-4.35%,,,,
Jan-15,5.63%,,,,
Dec-14,0.33%,,,,
Nov-14,-0.37%,,,,
Oct-14,-5.30%,,,,
Sep-14,-5.24%,,,,
Aug-14,-0.06%,,,,
Jul-14,-2.33%,,,,
Jun-14,5.57%,,,,
May-14,-4.39%,,,,
Apr-14,-0.14%,,,,
Mar-14,-2.66%,,,,
Feb-14,5.30%,,,,
Jan-14,2.30%,,,,
Dec-13,-0.71%,,,,
Nov-13,-5.28%,,,,
Oct-13,-2.12%,,,,
Sep-13,-5.57%,,,,
Aug-13,7.11%,,,,
Jul-13,6.82%,,,,
Jun-13,-1.27%,,,,
May-13,-5.41%,,,,
