,date,monthly_returns
28,2013-09-01,
58,2013-10-01,
89,2013-11-01,
126,2013-09-01,
156,2013-10-01,0.8194228443062037
187,2013-11-01,-0.39661886219014153
217,2013-12-01,7.10577679836298
248,2014-01-01,-0.4767748951374865
279,2014-02-01,-0.23181413301662712
307,2014-03-01,-0.3333172287177504
338,2014-04-01,-0.3653887962895863
368,2014-05-01,-0.3818659358227703
399,2014-06-01,-0.24404212082024757
429,2014-07-01,-0.11461388074291312
460,2014-08-01,0.4819210598951147
491,2014-09-01,-0.06407152169864028
521,2014-10-01,-0.05432835820895521
552,2014-11-01,-0.017045454545454586
582,2014-12-01,1.6887176193534579
613,2015-01-01,0.9420336014013855
644,2015-02-01,-0.4202952029520296
672,2015-03-01,-0.1343800834571044
703,2015-04-01,-0.3734782253452079
733,2015-05-01,0.04564423578508081
764,2015-06-01,-0.054751808431030224
794,2015-07-01,0.47750362844702443
825,2015-08-01,-0.26576174316842294
856,2015-09-01,-0.049501337873996465
886,2015-10-01,-0.3028790786948178
917,2015-11-01,-0.1004038179148311
947,2015-12-01,-0.16547643338094264
978,2016-01-01,0.45599022004889966
1009,2016-02-01,0.09857262804366096
1038,2016-03-01,0.22378477529807417
1069,2016-04-01,-0.0734449163127654
1099,2016-05-01,-0.08452413049339469
1130,2016-06-01,-0.14460315122956846
1160,2016-07-01,0.1683594422447927
1191,2016-08-01,-0.129806983939885
1222,2016-09-01,0.013206908228919678
1252,2016-10-01,0.3711564171122994
1283,2016-11-01,-0.012553321145643004
1313,2016-12-01,-0.17279684028634912
1344,2017-01-01,-0.049835869889585105
1375,2017-02-01,0.027010050251256246
1403,2017-03-01,-0.17308868501529062
1434,2017-04-01,3.0480769230769234
1464,2017-05-01,1.517586332906998
1495,2017-06-01,5.05383289485621
1525,2017-07-01,-0.23650934942171153
1556,2017-08-01,-0.30497676098357573
1587,2017-09-01,0.4034159263045529
1617,2017-10-01,-0.16881507089130265
1648,2017-11-01,-0.060077857184358985
1678,2017-12-01,0.31719416455461436
1709,2018-01-01,8.346927442031454
1740,2018-02-01,-0.5972677824267782
1768,2018-03-01,-0.03551369827433948
1799,2018-04-01,-0.4774787875654254
1829,2018-05-01,0.7345701027251117
1860,2018-06-01,-0.2591409389272967
1890,2018-07-01,-0.25988988777022737
1921,2018-08-01,-0.033609474637916636
1952,2018-09-01,-0.22009770058225608
1982,2018-10-01,0.6578262457544986
2013,2018-11-01,-0.2094486877689904
2043,2018-12-01,-0.1817248234669382
2074,2019-01-01,-0.0218151491260532
2105,2019-02-01,-0.15421730345888252
2133,2019-03-01,0.028507343193405976
2164,2019-04-01,-0.014386471359419062
2194,2019-05-01,-0.025742852849107933
2225,2019-06-01,0.41315606374878544
2255,2019-07-01,-0.055090423913624065
2286,2019-08-01,-0.21863924377307287
2317,2019-09-01,-0.1882694884651438
2347,2019-10-01,-0.03289621552078248
