,date,monthly_return
0,1/05/2013,
1,1/06/2013,
2,1/07/2013,0.0406
3,1/08/2013,0.0777
4,1/09/2013,-0.0624
5,1/10/2013,-0.0241
6,1/11/2013,0.076
7,1/12/2013,0.102
8,1/01/2014,-0.1262
9,1/02/2014,0.0019
10,1/03/2014,0.0264
11,1/04/2014,-0.0268
12,1/05/2014,-0.0646
13,1/06/2014,0.023
14,1/07/2014,0.0118
15,1/08/2014,-0.0847
16,1/09/2014,0.064
17,1/10/2014,-0.0641
18,1/11/2014,-0.0694
19,1/12/2014,-0.0014
20,1/01/2015,-0.2447
21,1/02/2015,0.2178
22,1/03/2015,-0.0346
23,1/04/2015,0.056
24,1/05/2015,0.0432
25,1/06/2015,0.1065
26,1/07/2015,-0.069
27,1/08/2015,0.0123
28,1/09/2015,-0.0808
29,1/10/2015,0.0545
30,1/11/2015,0.0289
31,1/12/2015,0.0276
32,1/01/2016,-0.1525
33,1/02/2016,-0.0962
34,1/03/2016,0.0184
35,1/04/2016,0.0367
36,1/05/2016,0.0087
37,1/06/2016,-0.2031
38,1/07/2016,-0.0169
39,1/08/2016,0.0883
40,1/09/2016,0.0127
41,1/10/2016,0.1421
42,1/11/2016,0.3096
43,1/12/2016,0.0234
44,1/01/2017,0.0082
45,1/02/2017,-0.028
46,1/03/2017,-0.0033
47,1/04/2017,-0.0419
48,1/05/2017,-0.0363
49,1/06/2017,0.0444
50,1/07/2017,-0.0035
51,1/08/2017,-0.0767
52,1/09/2017,0.1033
53,1/10/2017,0.0162
54,1/11/2017,0.016
55,1/12/2017,-0.0041
56,1/01/2018,0.1277
57,1/02/2018,0.056
58,1/03/2018,-0.0429
59,1/04/2018,0.0781
60,1/05/2018,-0.0321
61,1/06/2018,0
62,1/07/2018,0.0357
63,1/08/2018,-0.0344
64,1/09/2018,0.0717
65,1/10/2018,0.0274
66,1/11/2018,-0.0495
67,1/12/2018,-0.1026
68,1/01/2019,-0.0197
69,1/02/2019,0.0319
70,1/03/2019,-0.1141
71,1/04/2019,0.0403
72,1/05/2019,-0.1482
73,1/06/2019,-0.0591
74,1/07/2019,0
75,1/08/2019,-0.2531
76,1/09/2019,0.1127
77,1/10/2019,0.0588
