,Month,bitcoin: (Worldwide)
0,2011-02,1
1,2011-03,1
2,2011-04,1
3,2011-05,1
4,2011-06,3
5,2011-07,1
6,2011-08,1
7,2011-09,1
8,2011-10,1
9,2011-11,1
10,2011-12,1
11,2012-01,1
12,2012-02,1
13,2012-03,1
14,2012-04,1
15,2012-05,1
16,2012-06,1
17,2012-07,1
18,2012-08,1
19,2012-09,1
20,2012-10,1
21,2012-11,1
22,2012-12,1
23,2013-01,1
24,2013-02,1
25,2013-03,3
26,2013-04,8
27,2013-05,3
28,2013-06,2
29,2013-07,2
30,2013-08,2
31,2013-09,2
32,2013-10,3
33,2013-11,11
34,2013-12,12
35,2014-01,8
36,2014-02,9
37,2014-03,7
38,2014-04,4
39,2014-05,3
40,2014-06,3
41,2014-07,3
42,2014-08,3
43,2014-09,3
44,2014-10,3
45,2014-11,3
46,2014-12,3
47,2015-01,3
48,2015-02,3
49,2015-03,3
50,2015-04,2
51,2015-05,2
52,2015-06,2
53,2015-07,3
54,2015-08,3
55,2015-09,2
56,2015-10,3
57,2015-11,4
58,2015-12,4
59,2016-01,3
60,2016-02,3
61,2016-03,3
62,2016-04,3
63,2016-05,4
64,2016-06,5
65,2016-07,3
66,2016-08,3
67,2016-09,3
68,2016-10,3
69,2016-11,4
70,2016-12,5
71,2017-01,6
72,2017-02,6
73,2017-03,7
74,2017-04,6
75,2017-05,15
76,2017-06,15
77,2017-07,13
78,2017-08,20
79,2017-09,21
80,2017-10,23
81,2017-11,45
82,2017-12,100
83,2018-01,56
84,2018-02,41
85,2018-03,23
86,2018-04,19
87,2018-05,14
88,2018-06,13
89,2018-07,13
90,2018-08,13
91,2018-09,12
92,2018-10,10
93,2018-11,14
94,2018-12,13
95,2019-01,10
